196	4397872	1
186	4398651	1
22	4399132	1
244	4396373	1
166	4398909	1
298	4400009	1
115	4398334	1
253	4399924	1
305	4399739	1
6	4396671	1
62	4398172	1
286	4404597	1
200	4397660	1
210	4396234	1
224	256	1
303	4402812	1
122	4399149	1
194	4398490	1
291	4404709	1
234	4406002	1
119	4399237	1
167	4400127	1
299	4397038	1
291	4396772	1
308	2	1
95	4400726	1
38	4396693	1
102	4402622	1
63	4398497	1
160	4397835	1
50	4397936	1
301	4396699	1
225	4397357	1
290	4396677	1
97	4397359	1
157	4398490	1
181	4405124	1
278	4401073	1
276	4402826	1
7	277	1
10	169	1
284	4398653	1
201	4404321	1
276	4400849	1
287	4398788	1
246	4397426	1
242	4405600	1
249	4397870	1
99	50	1
178	4398831	1
251	4396701	1
81	4399577	1
260	4398742	1
25	4397291	1
59	4397365	1
72	4401642	1
87	4399146	1
290	4397016	1
42	4399544	1
292	4400356	1
115	206	1
20	4398515	1
201	4397587	1
13	4400553	1
246	4403796	1
138	235	1
167	4397808	1
60	4399569	1
57	4398653	1
223	4398490	1
189	4400311	1
243	161	1
92	4404767	1
246	4399462	1
194	4397174	1
241	4401758	1
178	4398020	1
254	4408558	1
293	55	1
127	4397709	1
225	4397861	1
299	4397709	1
225	4400089	1
276	4396467	1
291	4397038	1
222	4399089	1
267	4400372	1
42	4399332	1
11	4396762	1
95	4401314	1
8	4398841	1
162	231	1
87	4404600	1
279	4397072	1
145	4398491	1
119	4405819	1
62	4400269	1
62	4399144	1
28	4397501	1
135	218	1
32	4398566	1
90	4399144	1
286	4397496	1
293	4401648	1
216	4397038	1
166	4398812	1
250	4400262	1
271	4396896	1
160	4397241	1
265	4396772	1
198	4400269	1
42	4396694	1
168	4397066	1
110	4398656	1
58	4397038	1
90	4401470	1
271	4398909	1
62	207	1
279	4403212	1
237	4400331	1
94	4402817	1
128	4400121	1
298	4398694	1
44	4397363	1
264	4397373	1
194	4399147	1
72	4397363	1
222	4402371	1
250	4398306	1
41	4398334	1
224	4397924	1
82	4396910	1
262	4405779	1
293	4400005	1
216	4401566	1
250	4396955	1
59	218	1
286	4399134	1
244	4403099	1
7	4400055	1
174	4399093	1
87	4398490	1
194	4406224	1
82	4405526	1
13	4403244	1
13	4398472	1
244	4402544	1
305	4399569	1
95	4402814	1
43	158	1
299	4404028	1
57	4399513	1
84	4399347	1
269	4400284	1
299	4396762	1
194	4399932	1
160	4396910	1
99	4398426	1
10	4400127	1
259	4396771	1
85	4399569	1
303	4403796	1
213	4398488	1
121	4400331	1
90	4396699	1
49	4400828	1
42	4402822	1
155	4398743	1
68	4396771	1
172	4397275	1
19	50	1
268	4397724	1
5	20	1
305	4396771	1
44	4398566	1
43	4396932	1
279	4407512	1
80	4399932	1
254	4397170	1
298	4398504	1
279	4406530	1
66	4398598	1
18	4399686	1
268	4404660	1
99	4396633	1
13	4396699	1
26	4398192	1
7	4399757	1
222	4402541	1
200	4401636	1
119	4398812	1
213	4397237	1
276	4398742	1
94	4406271	1
130	4399134	1
38	4398812	1
160	4401976	1
293	4406656	1
26	4403901	1
130	4397569	1
92	4405108	1
256	4399752	1
1	4396506	1
72	4396328	1
56	4402541	1
13	4399023	1
15	4399347	1
92	4396620	1
207	4400011	1
292	4397241	1
232	4400118	1
251	4402346	1
224	235	1
181	4397629	1
259	4398168	1
305	4400005	1
52	4398503	1
161	4397430	1
148	4399373	1
125	4397838	1
97	4397704	1
58	4405244	1
83	4397835	1
90	4398911	1
272	4397280	1
194	4397291	1
125	4400036	1
110	4401692	1
299	158	1
151	96	1
269	4396884	1
6	158	1
54	4396737	1
303	4396535	1
16	4403984	1
301	4402818	1
276	4405173	1
305	4397542	1
194	4404633	1
91	4398743	1
87	4400793	1
294	4396752	1
286	4397235	1
200	4398698	1
229	4398812	1
178	4400867	1
303	4403270	1
62	4396524	1
207	4401013	1
92	4397237	1
301	4399324	1
36	4398879	1
70	4402342	1
63	4397872	1
28	4397426	1
279	4396531	1
250	75	1
14	4396699	1
299	4404608	1
194	4396467	1
303	4403099	1
119	4397861	1
295	4397586	1
268	4403901	1
268	20	1
66	4398192	1
233	4397430	1
83	4401310	1
214	4398834	1
192	4400011	1
100	4398902	1
268	4397050	1
301	4396470	1
307	4396680	1
234	4396971	1
83	4400962	1
181	4398306	1
297	4396903	1
38	4397070	1
7	4399144	1
264	4403097	1
181	4403408	1
201	4397056	1
85	4400294	1
269	4399092	1
59	4399948	1
286	4397016	1
193	4396694	1
113	4401032	1
292	100	1
130	4404597	1
275	4396699	1
189	4400480	1
219	4396636	1
218	4397501	1
123	4399569	1
119	4397660	1
158	4397275	1
222	4396772	1
302	4398742	1
